,v1_HL_Bin_ARB,v2_HL_Byb_ARB,v1_HL_Bin_AVAX,v2_HL_Byb_AVAX,v1_HL_Bin_BTC,v2_HL_Byb_BTC,v1_HL_Bin_DOGE,v2_HL_Byb_DOGE,v1_HL_Bin_ETH,v2_HL_Byb_ETH,v1_HL_Bin_LINK,v2_HL_Byb_LINK,v1_HL_Bin_MATIC,v2_HL_Byb_MATIC,v1_HL_Bin_OP,v2_HL_Byb_OP,v1_HL_Bin_SOL,v2_HL_Byb_SOL,v1_port,v2_port,v3_dyn_03pct_port
2024-12-11 00:00:00+00:00,0.00035443790000000007,0.00035443790000000007,-3.073230000000001e-05,-3.073230000000001e-05,0.0001639478,0.0001639478,2.4420600000000005e-05,0.00011759060000000002,0.00030893415000000007,0.00030893415000000007,-2.2621799999999987e-05,-2.2621799999999987e-05,,,0.0,0.0,0.00024697845,0.00024697845,0.0001306706,0.00014231685000000002,-0.0003010138875
2024-12-12 00:00:00+00:00,0.00024751405,0.00024751405,-0.00011183705000000001,-0.00011183705000000001,0.0001288472,0.0001288472,0.00013859065,0.00011461064999999998,0.0001337698,0.0001337698,-9.299000000000094e-07,-9.299000000000094e-07,,,0.0,0.0,0.00016581644999999996,0.00016581644999999996,8.77214e-05,8.47239e-05,-3.4203100000000005e-05
2024-12-13 00:00:00+00:00,0.00034320875000000005,0.00034320875000000005,0.00018319995,0.00018319995,0.0001656264,0.0001656264,0.0004226245500000001,0.0004226245500000001,0.00019361005000000003,0.00019361005000000003,0.0009782810000000001,0.000961011,,,3.910935e-05,3.910935e-05,0.00022692100000000002,0.00022692100000000002,0.00031907263125,0.00031691388125000005,0.0001641839625
2024-12-14 00:00:00+00:00,0.00041416390000000003,0.00041416390000000003,9.049474999999996e-05,9.049474999999996e-05,8.099124999999999e-05,8.099124999999999e-05,0.00015025795,0.00015025795,0.00023097495000000005,0.00023097495000000005,0.0009349308499999999,0.0009349308499999999,,,0.0,0.0,4.663184999999999e-05,4.663184999999999e-05,0.00024355568749999997,0.00024355568749999997,0.00024355568749999997
2024-12-15 00:00:00+00:00,4.1715799999999984e-05,4.1715799999999984e-05,8.608720000000002e-05,8.608720000000002e-05,0.00023031624999999997,0.00021406624999999998,0.00025845215,0.00025845215,2.188525000000001e-05,2.188525000000001e-05,0.0006272553499999999,0.0006272553499999999,,,8.657500000000121e-07,8.657500000000121e-07,0.00018011429999999998,0.00018011429999999998,0.00018083650624999998,0.00017880525624999999,7.799263124999998e-05
2024-12-16 00:00:00+00:00,3.8032500000000006e-05,3.8032500000000006e-05,5.1939749999999976e-05,3.702474999999998e-05,0.0006070358500000001,0.00059800585,0.00026797769999999994,0.00022345269999999998,0.00039341145,0.00039043145000000005,0.0007226175999999999,0.0007226175999999999,,,0.0,0.0,2.6553650000000013e-05,1.0358650000000018e-05,0.0002634460625,0.00025249043749999995,-4.462720625000002e-05
2024-12-17 00:00:00+00:00,5.887385000000001e-05,5.887385000000001e-05,0.00034490940000000004,0.00034490940000000004,0.00055467775,0.00055058275,0.0005101832000000001,0.0005101832000000001,0.0008062184500000001,0.00079952845,0.0007937116999999999,0.0007937116999999999,,,3.527450000000002e-06,3.527450000000002e-06,0.0003408201500000001,0.0003408201500000001,0.00042661524375000004,0.00042526711875,0.00022617431250000002
2024-12-18 00:00:00+00:00,0.0001801803,0.0001801803,0.00037486370000000004,0.00037486370000000004,0.00022617285000000003,0.00021550285000000006,0.00015756529999999997,0.00015756529999999997,0.00031135425,0.00031135425,0.000325875,0.000325875,,,0.0,0.0,0.00014437344999999999,0.00011469344999999999,0.00021504810625000003,0.00021000435625,0.00021504810625000003
2024-12-19 00:00:00+00:00,0.0,0.0,1.1197000000000005e-05,1.1197000000000005e-05,0.00025357585,0.00025271085000000003,-4.7927150000000014e-05,-8.844215e-05,0.00024680514999999995,0.00023703515,0.00032948405,0.00032948405,,,4.469999999999988e-06,0.0,6.921820000000001e-05,1.7843200000000006e-05,0.0001083528875,9.497851250000001e-05,-0.00012655932500000002
2024-12-20 00:00:00+00:00,1.4905000000000007e-05,0.0,0.0001086539,-2.2486100000000008e-05,8.264705000000001e-05,0.00023477205000000003,-4.4495999999999995e-05,-0.000130786,0.00010961305000000001,8.037804999999999e-05,2.6577999999999896e-06,-5.3642200000000006e-05,,,0.00015404019999999997,6.302519999999999e-05,0.0001286885,-4.096650000000001e-05,6.95886875e-05,1.6286812499999995e-05,-0.00022671171250000002
