config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,total_funding,total_fees,final_equity
A_research,U4,5.0,100.0,5,0.3,-0.15,120,0.026809244860048764,0.02085555618519647,2.5066115249089878,0.20223928423017082,0.012513368728178615,2.142448244146881,0,0,0,0,58.395608940851,58.12751649225061,1000.2680924486004
A_research,U4,5.0,150.0,3,0.3,-0.15,120,0.04021386729005094,0.03128068825260982,2.506707753739356,0.20224677623649773,0.01876636436873126,2.142869364566733,0,0,0,0,87.59341341127654,87.19127473837602,1000.4021386729005
A_research,U4,5.0,150.0,4,0.3,-0.15,120,0.04021386729005094,0.03128068825260982,2.506707753739356,0.20224677623649773,0.01876636436873126,2.142869364566733,0,0,0,0,87.59341341127654,87.19127473837602,1000.4021386729005
A_research,U4,5.0,150.0,5,0.3,-0.15,120,0.04021386729005094,0.03128068825260982,2.506707753739356,0.20224677623649773,0.01876636436873126,2.142869364566733,0,0,0,0,87.59341341127654,87.19127473837602,1000.4021386729005
A_research,U5,3.0,100.0,3,0.3,-0.15,120,0.05650794762217526,0.05410876275873848,2.0362980026792545,0.42448383874326184,0.05535795480927706,1.0207737590172945,0,2,0,0,151.769232210286,251.2041527340641,1000.5650794762219
A_research,U5,3.0,100.0,4,0.3,-0.15,120,0.05650794762217526,0.05410876275873848,2.0362980026792545,0.42448383874326184,0.05535795480927706,1.0207737590172945,0,2,0,0,151.769232210286,251.2041527340641,1000.5650794762219
A_research,U5,3.0,100.0,5,0.3,-0.15,120,0.05650794762217526,0.05410876275873848,2.0362980026792545,0.42448383874326184,0.05535795480927706,1.0207737590172945,0,2,0,0,151.769232210286,251.2041527340641,1000.5650794762219
A_research,U5,3.0,150.0,3,0.3,-0.15,120,0.08476192143327399,0.08115386308230171,2.0363786600905343,0.4245009784359965,0.08301620308565766,1.0210286460079976,0,2,0,0,227.65384831542903,376.8062291010964,1000.8476192143327
A_research,U5,3.0,150.0,4,0.3,-0.15,120,0.08476192143327399,0.08115386308230171,2.0363786600905343,0.4245009784359965,0.08301620308565766,1.0210286460079976,0,2,0,0,227.65384831542903,376.8062291010964,1000.8476192143327
A_research,U5,3.0,150.0,5,0.3,-0.15,120,0.08476192143327399,0.08115386308230171,2.0363786600905343,0.4245009784359965,0.08301620308565766,1.0210286460079976,0,2,0,0,227.65384831542903,376.8062291010964,1000.8476192143327
A_research,U5,5.0,100.0,3,0.3,-0.15,120,0.05650794762224187,0.054108762758729494,2.0362980026783926,0.42448383874306,0.055357954809299774,1.020773759018079,0,0,0,0,264.35990946476795,363.79482998854564,1000.5650794762223
A_research,U5,5.0,100.0,4,0.3,-0.15,120,0.05650794762224187,0.054108762758729494,2.0362980026783926,0.42448383874306,0.055357954809299774,1.020773759018079,0,0,0,0,264.35990946476795,363.79482998854564,1000.5650794762223
