config,universe,margin_buffer_x,position_size,concurrency_cap,entry_threshold,exit_threshold,min_hold_hours,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,total_funding,total_fees,final_equity
B_live,U4,5.0,150.0,3,0.1,-0.1,120,66.34788994922769,20.74620480768234,4.884208930220199,528.977931655372,0.0241291652447529,2749.6968617120124,0,0,0,368,1497.1923987242008,984.2374950852644,1662.954903638937
B_live,U4,5.0,150.0,5,0.1,-0.1,120,62.25306968412878,19.82453755110726,4.85719669106361,557.3883143091244,0.0224783639729068,2769.4662191235298,0,0,0,738,1445.3913049479804,973.371705276198,1622.0195996717828
B_live,U5,3.0,100.0,3,0.1,-0.1,120,45.5370152378815,12.199886802465835,6.058785767598894,439.1902147397128,0.0260899422425929,1745.3858201165474,0,0,0,0,1026.1721293579362,871.1076047111205,1455.0645246468157
B_live,U5,3.0,100.0,5,0.1,-0.1,120,63.462954905874504,13.827078938233072,6.999271509793457,597.7239670894228,0.0227603443094175,2788.3126038482337,0,0,0,749,1427.6375551547076,993.3512783012636,1634.286276853443
B_live,U5,3.0,150.0,3,0.1,-0.1,120,53.69288190882955,15.578219568175989,5.456622905636144,387.25621400250617,0.024493755649665,2192.104905299147,0,0,0,832,1231.3659836526992,844.9212971424173,1536.4446865102825
B_live,U5,3.0,150.0,5,0.1,-0.1,120,56.30242031053405,16.33662079296318,5.411509185581035,381.73654453568633,0.0239632323696806,2349.533628934402,0,0,0,2044,1359.9626660162592,947.4308155348976,1562.5318504813622
B_live,U5,5.0,100.0,3,0.1,-0.1,120,65.53248438662595,17.666178547388572,5.650038124860615,662.6840144255012,0.0236746604486433,2768.043264180422,0,0,0,642,1453.5859914714374,998.6087658223892,1654.977225649048
B_live,U5,5.0,100.0,5,0.1,-0.1,120,75.22850328072037,19.045012886246457,5.836883099929097,794.2642490587938,0.0212438432200114,3541.1908524092296,0,0,0,2270,1639.5069738427833,987.589920892468,1751.9170529503144
B_live,U5,5.0,150.0,3,0.1,-0.1,120,67.12491284105715,21.792339064354724,4.701185178556264,577.0357819505374,0.0226027207954554,2969.771358435455,0,0,0,1744,1506.8154648593538,986.092779924232,1670.722684935122
B_live,U5,5.0,150.0,5,0.1,-0.1,120,69.36929302299441,23.039781790954013,4.571104628598629,484.4027168949079,0.0153771808830027,4511.184042822318,0,0,0,3436,1528.8963406824782,835.7369237255568,1693.1594169569216
B_live,U7,3.0,100.0,3,0.1,-0.1,120,67.1042169646778,22.05114070732622,4.647647739459999,615.8631674274178,0.0488776470685714,1372.901949853191,0,0,0,3297,1459.6629044677395,889.1471131043998,1670.5157913633398
B_live,U7,3.0,100.0,5,0.1,-0.1,120,61.83829692520384,18.03369997880441,5.294411770896607,620.1407884284816,0.0100181542351069,6172.623766212511,0,0,0,4524,1496.432915619063,978.7296672141092,1617.7032484049528
B_live,U7,3.0,150.0,3,0.1,-0.1,120,60.69537930895874,26.76530336782,3.5825432830457573,636.3079190967675,0.0147515327860385,4114.5133993399795,0,0,0,7691,1456.111090516788,999.9165830944356,1606.1945074223524
B_live,U7,3.0,150.0,5,0.1,-0.1,120,65.1477626159765,26.61550284268725,3.8017435094445817,665.2242159009469,0.0147568226082924,4414.755421629,0,0,0,9164,1498.707091845836,998.2698965905518,1650.4371952552842
B_live,U7,5.0,100.0,3,0.1,-0.1,120,71.51316806736962,26.43543224904693,4.104982935368694,1062.8846113742077,0.0097997344658328,7297.459774721752,0,0,0,5715,1608.5706709309964,893.979256736712,1714.5914141942842
B_live,U7,5.0,100.0,5,0.1,-0.1,120,68.31985731780432,25.732590769269308,4.067713330043436,799.2301811700477,0.0100030287437661,6829.917124888925,0,0,0,7829,1572.9456423208208,890.454012543512,1682.4916297773086
B_live,U7,5.0,150.0,3,0.1,-0.1,120,72.10505959668019,35.62854767634012,3.1328921302401205,905.3889986478098,0.0143413439127137,5027.775641915847,0,0,0,9521,1570.9685027090566,850.7311031488491,1720.2373995602077
B_live,U7,5.0,150.0,5,0.1,-0.1,120,72.10505959668019,35.62854767634012,3.1328921302401205,905.3889986478098,0.0143413439127137,5027.775641915847,0,0,0,11521,1570.9685027090566,850.7311031488491,1720.2373995602077
B_live,U-prod,3.0,100.0,3,0.1,-0.1,120,66.13076211902525,24.378440659311508,4.176623012104103,396.9862428950634,0.0356382559170705,1855.6116290569944,0,0,0,21,1343.4060772111402,982.6217679215622,1660.7843092895778
B_live,U-prod,3.0,100.0,5,0.1,-0.1,120,78.53355745761465,25.397673894315215,4.571760225121323,603.4451485545646,0.0336919721628998,2330.927886260464,0,0,0,2911,1681.314924548585,996.5417306784292,1784.7731938701554
B_live,U-prod,3.0,150.0,3,0.1,-0.1,120,63.151089042839416,27.28496109860773,3.625954810069488,397.7358162814566,0.0711970145034888,886.9906903153203,0,0,0,1089,1385.180785443829,904.4407839111632,1630.7400015326666
B_live,U-prod,3.0,150.0,5,0.1,-0.1,120,55.04589285858261,26.81133793485105,3.314627895179987,440.4910867334046,0.0151913320289297,3623.5066651005623,0,0,0,3291,1376.2932833010548,976.5669465589858,1549.7263367420692
B_live,U-prod,5.0,100.0,3,0.1,-0.1,120,77.14672197601512,34.37405774532849,3.4026320341422114,719.1929324585668,0.0419387984184451,1839.5072077717227,0,0,0,1411,1629.0480120595917,958.1388044736648,1770.9092075859269
B_live,U-prod,5.0,100.0,5,0.1,-0.1,120,69.88102206570501,24.92815597852474,4.262158139880666,842.9468536436698,0.01167863344305,5983.66430511537,0,0,0,3595,1594.1495661136175,995.8744706760742,1698.275095437543
B_live,U-prod,5.0,150.0,3,0.1,-0.1,120,71.45174387023975,36.48120409157875,3.044353026393218,1072.9364014592702,0.0156977599786316,4551.715911537848,0,0,0,3339,1553.771843262327,990.0645140497164,1713.7073292126106
B_live,U-prod,5.0,150.0,5,0.1,-0.1,120,71.49825393920244,36.467598760221954,3.0468323030957953,889.0340799783585,0.0151913320289297,4706.516439970114,0,0,0,5290,1551.5299244759983,987.3577143338372,1714.1722101421617
B_live,U-prod,3.0,100.0,4,0.1,-0.1,120,67.25192305270491,24.21743563182455,4.257088763573862,378.30466722245484,0.04469978661164008,1504.524476526072,0,0,0,508,1442.0100590851632,970.0176721157295,1671.9923869694333
