coin,strategy,filter,param,annual_pct,max_dd_pct,calmar,sharpe,trades,pct_in_pos
ETH,A_spot_keep,signal_ma,12,-2.41,52.77,-0.05,-0.06,27,37.6
ETH,A_spot_keep,signal_ma,24,-5.07,55.41,-0.09,-0.12,24,34.9
SOL,A_cycle,baseline,0,10.76,0.37,28.88,20.16,48,44.7
SOL,A_cycle,min_hold,24,9.85,0.54,18.18,18.31,59,42.1
SOL,A_cycle,min_hold,72,10.76,0.37,28.88,20.16,48,44.7
SOL,A_cycle,min_hold,168,11.41,0.35,32.96,21.82,36,50.0
SOL,A_cycle,cooldown,24,10.68,0.35,30.46,20.22,46,43.3
SOL,A_cycle,cooldown,72,9.77,0.35,27.66,20.31,39,39.9
SOL,A_cycle,cooldown,168,9.57,0.35,27.3,20.32,31,35.4
SOL,A_cycle,signal_ma,6,10.9,0.26,41.49,21.08,38,41.2
SOL,A_cycle,signal_ma,12,10.96,0.24,45.24,22.03,31,38.7
SOL,A_cycle,signal_ma,24,10.14,0.24,42.22,21.65,28,35.7
SOL,A_spot_keep,baseline,0,59.11,75.18,0.79,0.16,48,44.7
SOL,A_spot_keep,min_hold,24,64.01,73.92,0.87,0.17,59,42.1
SOL,A_spot_keep,min_hold,72,59.11,75.18,0.79,0.16,48,44.7
SOL,A_spot_keep,min_hold,168,58.65,75.5,0.78,0.16,36,50.0
SOL,A_spot_keep,cooldown,24,62.87,74.26,0.85,0.17,46,43.3
SOL,A_spot_keep,cooldown,72,69.22,72.72,0.95,0.19,39,39.9
SOL,A_spot_keep,cooldown,168,62.2,74.63,0.83,0.17,31,35.4
SOL,A_spot_keep,signal_ma,6,57.33,76.12,0.75,0.16,38,41.2
SOL,A_spot_keep,signal_ma,12,54.27,77.2,0.7,0.15,31,38.7
SOL,A_spot_keep,signal_ma,24,58.46,75.9,0.77,0.16,28,35.7
ARB,A_cycle,baseline,0,5.81,0.52,11.08,18.5,33,38.6
ARB,A_cycle,min_hold,24,5.42,0.98,5.52,16.25,40,36.4
ARB,A_cycle,min_hold,72,5.81,0.52,11.08,18.5,33,38.6
ARB,A_cycle,min_hold,168,5.92,0.53,11.18,19.89,28,43.3
ARB,A_cycle,cooldown,24,5.78,0.52,11.01,18.4,33,38.4
ARB,A_cycle,cooldown,72,5.68,0.37,15.41,18.86,29,36.7
ARB,A_cycle,cooldown,168,4.93,0.31,15.93,17.83,25,32.1
ARB,A_cycle,signal_ma,6,5.78,0.52,11.14,19.4,28,36.0
ARB,A_cycle,signal_ma,12,5.86,0.35,16.76,20.3,25,34.8
ARB,A_cycle,signal_ma,24,5.78,0.23,25.02,20.48,24,35.0
ARB,A_spot_keep,baseline,0,13.84,30.19,0.46,0.56,33,38.6
ARB,A_spot_keep,min_hold,24,13.6,32.75,0.42,0.53,40,36.4
ARB,A_spot_keep,min_hold,72,13.84,30.19,0.46,0.56,33,38.6
ARB,A_spot_keep,min_hold,168,10.69,26.19,0.41,0.42,28,43.3
ARB,A_spot_keep,cooldown,24,14.43,29.47,0.49,0.58,33,38.4
ARB,A_spot_keep,cooldown,72,12.12,29.83,0.41,0.47,29,36.7
ARB,A_spot_keep,cooldown,168,11.81,33.89,0.35,0.41,25,32.1
ARB,A_spot_keep,signal_ma,6,10.78,44.31,0.24,0.43,28,36.0
ARB,A_spot_keep,signal_ma,12,6.88,52.43,0.13,0.28,25,34.8
ARB,A_spot_keep,signal_ma,24,9.16,37.68,0.24,0.37,24,35.0
OP,A_cycle,baseline,0,6.32,0.35,18.07,19.98,26,35.7
OP,A_cycle,min_hold,24,6.22,0.62,10.01,19.06,29,34.9
OP,A_cycle,min_hold,72,6.32,0.35,18.07,19.98,26,35.7
OP,A_cycle,min_hold,168,6.32,0.74,8.53,21.05,21,37.9
OP,A_cycle,cooldown,24,6.21,0.34,18.1,20.08,25,35.3
OP,A_cycle,cooldown,72,5.82,0.34,16.95,19.03,25,33.6
OP,A_cycle,cooldown,168,5.45,0.34,15.86,19.12,21,29.8
OP,A_cycle,signal_ma,6,6.25,0.16,38.71,20.95,21,31.8
OP,A_cycle,signal_ma,12,6.18,0.17,37.19,20.82,21,31.7
OP,A_cycle,signal_ma,24,6.13,0.19,33.07,20.81,20,30.2
OP,A_spot_keep,baseline,0,5.68,40.38,0.14,0.12,26,35.7
OP,A_spot_keep,min_hold,24,0.71,44.1,0.02,0.01,29,34.9
OP,A_spot_keep,min_hold,72,5.68,40.38,0.14,0.12,26,35.7
OP,A_spot_keep,min_hold,168,4.4,40.83,0.11,0.09,21,37.9
OP,A_spot_keep,cooldown,24,7.05,39.44,0.18,0.15,25,35.3
OP,A_spot_keep,cooldown,72,6.98,39.68,0.18,0.14,25,33.6
OP,A_spot_keep,cooldown,168,8.87,36.49,0.24,0.17,21,29.8
OP,A_spot_keep,signal_ma,6,8.19,39.99,0.2,0.17,21,31.8
OP,A_spot_keep,signal_ma,12,10.39,39.65,0.26,0.21,21,31.7
