universe,margin_buffer_x,position_size,concurrency_cap,annual_pct,vol_pct,sharpe,sortino,max_dd_pct,calmar,n_liquidations,n_top_ups,n_forced_closes,n_skipped_opens_capital,min_margin_ratio,peak_committed_capital,final_equity,total_funding,total_fees
U3-new,5.0,50.0,5,36.331080771089304,2.7266590957908616,3.894131752178093,164.83788116302773,0.010222028605135408,3554.1947860366054,0,1,0,0,1.446458752968361,248.26943240458215,1363.1676600760836,452.7554284416176,89.58776836553398
U3-new,5.0,100.0,3,72.66979267167765,4.864608162312279,3.8575642036242312,163.66884937921094,0.016658558466010435,4362.30978928643,0,1,0,0,1.446458752968361,496.5388648091643,1726.3353201521663,905.5108568832352,179.17553673106886
U3-new,5.0,100.0,5,72.66979267167765,4.864608162312279,3.8575642036242312,163.66884937921094,0.016658558466010435,4362.30978928643,0,1,0,0,1.446458752968361,496.5388648091643,1726.3353201521663,905.5108568832352,179.17553673106886
U3-new,5.0,150.0,3,109.0161381063282,6.662194814672173,3.8109166833587906,162.17181619743602,0.021083868992016506,5170.594550156217,0,1,0,0,1.4464587529683555,744.8082972137465,2089.502980228247,1358.266285324852,268.76330509660494
U3-new,5.0,150.0,5,109.0161381063282,6.662194814672173,3.8109166833587906,162.17181619743602,0.021083868992016506,5170.594550156217,0,1,0,0,1.4464587529683555,744.8082972137465,2089.502980228247,1358.266285324852,268.76330509660494
U4,2.0,50.0,3,-44.75920800018021,32.56697862801463,-1.0736615612791123,-0.20803402775867866,50.81047701935915,-0.8809050933162197,3,36,0,0,0.656664079191685,219.44935511942037,552.3209157507982,118.82883786988582,566.5079221190874
U4,2.0,50.0,5,-34.417908109477565,30.965392917071522,-0.7511279796317561,-0.14430364479594124,42.551895296129054,-0.808845478443555,2,38,0,0,0.656664079191685,221.5,655.6831965122543,131.61594724240751,475.9327507301534
U4,2.0,100.0,3,-78.10855163655388,74.63698257705688,-0.6130039604676626,-0.12374346763564846,85.89824248996601,-0.9093148983307539,2,27,2,1576,0.715172651021887,438.89871023884075,218.84552557211632,119.01161741177879,900.166091839662
U4,2.0,100.0,5,-76.04509018429658,71.14862943664573,-0.7611134362271937,-0.10350159770660462,83.38908692773903,-0.9119309610644087,2,40,1,884,0.656664079191685,443.0,239.44848753580825,223.56489037159298,984.1164028357847
U4,2.0,150.0,3,-94.56017429607382,87.7322125110401,-1.0595836744198317,-0.0454323150380491,94.6217220358806,-0.9993495390013782,2,23,1,2340,0.7151726510218893,499.5,54.37255386281074,0.0,945.6274461371893
U4,2.0,150.0,5,-86.10047480025759,72.89581241661509,-0.7551273840904053,-0.020230966865784787,87.21377537919727,-0.9872348081011381,1,21,2,2294,0.9873839012810748,859.418993211513,138.90768498866572,0.0,861.0923150113339
U4,3.0,50.0,3,-42.10879055943331,32.70486373033647,-0.9680861429749328,-0.1888407310666659,50.56138751258735,-0.832825059418123,3,25,0,0,0.656664079191685,227.69935511942037,578.8209157507981,159.32883786988592,580.5079221190877
U4,3.0,50.0,5,-31.31725697273885,31.06082408802711,-0.6444459778013611,-0.12451029382012113,42.44795751247102,-0.7377800678286577,2,30,0,0,0.656664079191685,232.25,686.6831965122544,181.11594724240777,494.4327507301534
U4,3.0,100.0,3,-74.35616344488733,76.23283028046993,-0.45725638220970216,-0.09486092851629185,85.40187124704379,-0.8706619932225571,2,20,2,1576,0.715172651021887,455.39871023884075,256.35758746597804,155.4220738473635,899.0644863813851
U4,3.0,100.0,5,-74.32246468046667,71.43754660346757,-0.6960722302463789,-0.14060013397396792,82.99085397198708,-0.8955500651379446,2,34,1,1576,0.656664079191685,464.5,256.6675075469914,153.95810118093428,897.2905936339426
U4,3.0,150.0,3,-93.05946521103112,86.11055048085721,-1.032592292797119,-0.04440027884905863,93.13799240152602,-0.99915687263092,2,15,1,2340,0.7151726510218893,524.25,69.37255386281086,0.0,930.6274461371892
U4,3.0,150.0,5,-81.28879960248227,70.52128193274456,-0.6690219069480045,-0.036950671123863674,84.11440334029477,-0.9664076112341761,1,17,2,2284,0.15219010472371625,884.168993211513,186.99412341267293,40.579567023996596,853.5854436113234
U4,5.0,50.0,3,-27.06765807296393,28.9512101607921,-0.5901858966562274,-0.11726749263688895,40.68887902112018,-0.6652347944733019,2,11,0,0,0.8690042277784078,203.73930098853396,729.2085508318257,240.0599889055065,510.85143807368075
U4,5.0,50.0,5,-25.115954699261668,31.408504064179592,-0.4425981909338009,-0.08691434378078215,42.2415978180402,-0.5945787090595174,2,17,0,0,0.656664079191685,253.75,748.6831965122519,279.8470982780255,531.1639017657737
U4,5.0,100.0,3,-72.82457837830583,70.7934526796492,-0.6985248620370794,-0.1453107991266684,80.64088314935778,-0.903072678946545,2,17,0,1576,0.8690042277784078,407.4786019770679,271.66861363883345,161.8290318465098,890.1604182076763
U4,5.0,100.0,5,-73.72989668766905,71.4739511632558,-0.6899464448417257,-0.14297951375098603,82.20569091340973,-0.896895286304831,2,23,0,1576,0.656664079191685,507.5,262.5906986893978,161.8290318465098,899.2383331571122
U4,5.0,150.0,3,-41.20194419253633,70.40280428074061,0.1365139057776263,0.020889190879387495,73.58912539120644,-0.5598917499495079,1,18,2,993,0.9336542842980776,573.75,587.7027372609464,563.7093126275138,976.0065753665676
U4,5.0,150.0,5,-97.65041654517583,81.8864344629272,-0.7404166036718172,-0.01985222074299977,97.89414888570069,-0.9975102460841717,1,14,1,2294,0.8815745546553247,933.668993211513,23.48103217247624,0.0,976.5189678275236
U5,2.0,50.0,3,-11.255960993122759,18.59522334118324,-0.9574927978134566,-0.2107680413997559,18.39023175331925,-0.6120619437594185,2,6,0,0,-1.0706409611815726,126.10485831480985,887.3937994482937,81.55469679977296,244.1608973514792
U5,2.0,50.0,5,-11.255960993122759,18.59522334118324,-0.9574927978134566,-0.2107680413997559,18.39023175331925,-0.6120619437594185,2,6,0,0,-1.0706409611815726,126.10485831480985,887.3937994482937,81.55469679977296,244.1608973514792
U5,2.0,100.0,3,-22.513103986259843,39.02626811122343,-0.8487243097749674,-0.18850865156353683,36.75634714790775,-0.6124956839608403,2,6,0,0,-1.0706409611815726,252.2097166296197,774.7875988965873,163.1093935995459,488.3217947029586
U5,2.0,100.0,5,-22.513103986259843,39.02626811122343,-0.8487243097749674,-0.18850865156353683,36.75634714790775,-0.6124956839608403,2,6,0,0,-1.0706409611815726,252.2097166296197,774.7875988965873,163.1093935995459,488.3217947029586
U5,2.0,150.0,3,-33.77142916560557,63.058561173572095,-0.6737774661983003,-0.15200933456631568,55.098393590807845,-0.612929469712157,2,6,0,0,-1.070640961181571,378.3145749444295,662.1813983448801,244.66409039931892,732.482692054439
U5,2.0,150.0,5,-33.77142916560557,63.058561173572095,-0.6737774661983003,-0.15200933456631568,55.098393590807845,-0.612929469712157,2,6,0,0,-1.070640961181571,378.3145749444295,662.1813983448801,244.66409039931892,732.482692054439
U5,3.0,50.0,3,-2.4230304499934907,17.665805579768552,-0.13275950271904488,-0.029953222872650783,13.07340879925124,-0.18534037198716422,1,2,0,0,0.7721314904246042,136.10485831480986,975.7184675910513,137.68186167311535,211.96339408206404
U5,3.0,50.0,5,-2.4230304499934907,17.665805579768552,-0.13275950271904488,-0.029953222872650783,13.07340879925124,-0.18534037198716422,1,2,0,0,0.7721314904246042,136.10485831480986,975.7184675910513,137.68186167311535,211.96339408206404
U5,3.0,100.0,3,-4.846315344900964,35.70629629997892,-0.01694069553056339,-0.003865428589878775,26.128447374330527,-0.1854804181614767,1,2,0,0,0.7721314904246042,272.2097166296197,951.4369351821026,275.3637233462307,423.92678816412814
U5,3.0,100.0,5,-4.846315344900964,35.70629629997892,-0.01694069553056339,-0.003865428589878775,26.128447374330527,-0.1854804181614767,1,2,0,0,0.7721314904246042,272.2097166296197,951.4369351821026,275.3637233462307,423.92678816412814
U5,3.0,150.0,3,-7.269854724803815,54.395455156954185,0.12846862928879177,0.029791855946033115,39.16515441769506,-0.18562047904295378,1,2,0,0,0.772131490424624,408.3145749444295,927.1554027731534,413.0455850193461,635.8901822461928
U5,3.0,150.0,5,-7.269854724803815,54.395455156954185,0.12846862928879177,0.029791855946033115,39.16515441769506,-0.18562047904295378,1,2,0,0,0.772131490424624,408.3145749444295,927.1554027731534,413.0455850193461,635.8901822461928
U5,5.0,50.0,3,22.627258958752037,9.865612944061771,3.453455398861034,402.76544207175294,0.030735369755612914,736.1960873960148,0,0,0,0,2.484337839690037,156.10485831480986,1226.2082102765671,363.3623989607797,187.1541886842125
U5,5.0,50.0,5,22.627258958752037,9.865612944061771,3.453455398861034,402.76544207175294,0.030735369755612914,736.1960873960148,0,0,0,0,2.484337839690037,156.10485831480986,1226.2082102765671,363.3623989607797,187.1541886842125
U5,5.0,100.0,3,45.25689402918647,18.657620755120632,3.384858404803309,405.31749376284347,0.05741747956278984,788.2076046144631,0,0,0,0,2.484337839690037,312.2097166296197,1452.4164205531342,726.7247979215593,374.308377368425
