fundingTime,fundingRate
1733875200033,0.0001
1733904000000,0.0001
1733932800000,0.0001
1733961600000,0.0001
1733990400000,0.0001
1734019200000,0.0001
1734048000000,0.0001
1734076800005,0.0001
1734105600000,0.00029554
1734134400002,0.0001
1734163200000,0.0001
1734192000000,0.0001
1734220800000,0.0001
1734249600000,0.0001
1734278400000,0.0001
1734307200000,0.0001
1734336000000,0.0001
1734364800000,0.0001
1734393600000,0.0001
1734422400000,0.00038708
1734451200000,0.0005309
1734480000000,0.0001
1734508800000,0.0001
1734537600000,0.0001
1734566400000,0.0001
1734595200000,0.00039034
1734624000001,0.0001
1734652800000,0.0001
1734681600000,0.00058984
1734710400000,0.0001
1734739200000,0.00073619
1734768000000,0.0001
1734796800000,0.0001
1734825600000,0.0001
1734854400000,0.0001
1734883200000,0.0001
1734912000000,0.0001
1734940800000,0.0001
1734969600000,0.0001
1734998400000,0.00083686
1735027200000,0.00143596
1735056000000,0.00124887
1735084800000,0.00126797
1735113600000,0.00055161
1735142400000,0.00058365
1735171200000,0.00059874
1735200000000,0.00100983
1735228800000,0.00058346
1735257600000,0.0001
1735286400000,0.0001
1735315200000,0.0001
1735344000000,0.0001
1735372800000,0.0001
1735401600000,0.0001
1735430400000,0.0001
1735459200000,0.0001
1735488000001,0.0001
1735516800000,0.0001
1735545600000,0.0001
1735574400000,0.0001
1735603200000,0.0001
1735632000000,0.0001
1735660800000,0.0001
1735689600000,0.0001
1735718400000,0.0001
1735747200000,0.0001
1735776000001,0.0001
1735804800000,0.0001
1735833600000,0.0001
1735862400000,0.00075183
1735891200000,0.00079942
1735920000000,0.0001
1735948800000,0.0001
1735977600000,0.0001
1736006400000,0.0001
1736035200000,0.0001
1736064000000,0.0001
1736092800000,0.0001
1736121600000,0.0001
1736150400000,0.0001
1736179200000,0.00075671
1736208000000,0.00046547
1736236800000,0.00050937
1736265600000,0.00054003
1736294400000,0.00040083
1736323200000,0.00053044
1736352000000,0.00020427
1736380800000,0.0001
1736409600000,0.0001
1736438400001,0.0001
1736467200000,0.0001
1736496000001,0.0001
1736524800000,0.0001
1736553600000,0.0001
1736582400000,0.0001
1736611200000,0.0001
1736640000000,0.0001
1736668800000,0.0001
1736697600000,0.0001
1736726400000,0.0001
1736755200000,0.0001
1736784000000,0.0001
1736812800000,0.0001
1736841600000,0.0001
1736870400001,0.0001
1736899200000,0.0001
1736928000000,0.0001
1736956800000,0.0001
1736985600000,0.0001
1737014400000,0.0001
1737043200000,0.0001
1737072000000,0.0001
1737100800000,0.0001
1737129600000,0.0001
1737158400000,0.0001
1737187200000,0.0001
1737216000000,0.0001
1737244800000,0.0001
1737273600000,0.0001
1737302400000,0.0001
1737331200000,0.00029459
1737360000000,0.0005156
1737388800000,0.0001
1737417600000,0.0001
1737446400001,0.00015426
1737475200000,0.0001
