fundingTime,fundingRate
1750809600001,5.776e-05
1750838400000,0.0001
1750867200000,0.0001
1750896000000,0.0001
1750924800001,0.0001
1750953600000,2.923e-05
1750982400000,2.131e-05
1751011200000,0.0001
1751040000000,7.49e-05
1751068800000,0.0001
1751097600001,0.0001
1751126400000,0.0001
1751155200000,0.0001
1751184000000,0.0001
1751212800000,0.0001
1751241600000,0.0001
1751270400000,9.576e-05
1751299200001,8.234e-05
1751328000002,0.0001
1751356800000,0.0001
1751385600000,0.0001
1751414400000,4.679e-05
1751443200000,5.242e-05
1751472000000,9.826e-05
1751500800000,0.0001
1751529600001,0.0001
1751558400000,9.639e-05
1751587200000,7.545e-05
1751616000001,0.0001
1751644800001,3.67e-06
1751673600001,-5.425e-05
1751702400000,4.06e-06
1751731200001,1.938e-05
1751760000000,3.563e-05
1751788800000,-1.681e-05
1751817600000,8.675e-05
1751846400001,0.0001
1751875200000,0.0001
1751904000001,9.178e-05
1751932800000,0.0001
1751961600003,5.65e-06
1751990400000,6.071e-05
1752019200000,5.126e-05
1752048000001,4.008e-05
1752076800000,5.317e-05
1752105600001,0.0001
1752134400000,0.0001
1752163200000,0.0001
1752192000000,0.0001
1752220800000,7.786e-05
1752249600000,0.0001
1752278400000,0.0001
1752307200000,0.0001
1752336000000,0.0001
1752364800001,0.0001
1752393600000,0.0001
1752422400000,0.0001
1752451200000,0.0001
1752480000000,0.0001
1752508800000,0.0001
1752537600000,0.0001
1752566400000,3.582e-05
1752595200000,0.0001
1752624000001,0.0001
1752652800001,0.0001
1752681600000,0.0001
1752710400001,0.0001
1752739200001,0.0001
1752768000000,0.0001
1752796800001,0.0001
1752825600000,0.0001
1752854400001,0.0001
1752883200000,0.0001
1752912000000,0.0001
1752940800001,0.0001
1752969600000,0.0001
1752998400000,0.0001
1753027200000,0.0001
1753056000000,0.0001
1753084800000,0.0001
1753113600000,0.0001
1753142400000,0.0001
1753171200001,0.0001
1753200000000,0.0001
1753228800000,0.0001
1753257600001,0.0001
1753286400000,0.0001
1753315200000,0.0001
1753344000001,0.0001
1753372800000,0.0001
1753401600000,0.0001
1753430400000,0.0001
1753459200001,0.0001
1753488000000,0.0001
1753516800003,0.0001
1753545600001,0.0001
1753574400000,0.0001
