time,ret_net_lo5,equity_lo5,ret_net_ls5,equity_ls5,ret_net_lo10,equity_lo10,ret_net_ls10,equity_ls10,ret_net_btc,equity_btc,ret_net_ew,equity_ew
2023-12-26 00:00:00+00:00,-0.08601126743740495,1.768803413051336,-0.07028272833662119,1.3953543202744738,-0.08601126743740495,1.767417918156018,-0.07061606166995452,1.3926261223697474,-0.024490472192000512,1.2265712089445846,-0.03284463901230156,2.105063209970501
2023-12-27 00:00:00+00:00,-0.012541632105894651,1.7466197313771952,-0.09976902886201025,1.2561411748222793,-0.012541632105894651,1.7452516128491389,-0.09976902886201025,1.2536851665730506,0.021640629392459365,1.2531149819008152,0.0402078785329373,2.18970333582115
2023-12-28 00:00:00+00:00,-0.07371986196314065,1.6178591658779706,-0.07535848602071023,1.161480277659396,-0.07371986196314065,1.6165919048589519,-0.07535848602071023,1.1592093504734835,-0.01991970775187457,1.2281532976818554,-0.028821114755266414,2.1265936446994593
2023-12-29 00:00:00+00:00,0.020745556512091312,1.651422554632297,0.05479513455155012,1.2251237457527142,0.020745556512091312,1.6501290035781926,0.05479513455155012,1.2227283828060929,-0.011672136108276221,1.2138181252294846,0.006127734034501351,2.1396248449536386
2023-12-30 00:00:00+00:00,-0.006323909913358553,1.6409791071679138,0.007064624652792784,1.2337787851696806,-0.006323909913358553,1.639693736414144,0.007064624652792784,1.2313664998829343,0.0017431736790995966,1.2159340210365988,-0.019558612793500976,2.0977767510878356
2023-12-31 00:00:00+00:00,-0.020214898582770775,1.6078068809400687,-0.006825337486024281,1.2253578285778004,-0.020214898582770775,1.6065474938257276,-0.006825337486024281,1.2229620079522487,0.0034005469351414686,1.220068861745169,-0.0032496758202880567,2.090959656703463
2024-01-01 00:00:00+00:00,0.12578121269023784,1.8100387801964193,0.07904883362115758,1.32222093569543,0.12578121269023784,1.80862098584359,0.07904883362115758,1.3196357282438629,0.04483939155577654,1.2747760071619711,0.07584329748055131,2.249544931966655
2024-01-02 00:00:00+00:00,-0.05662016661002322,1.707554082891095,-0.04600649870492194,1.2613901799297376,-0.05695349994335656,1.7056136906287938,-0.0466731653715886,1.2580441516692804,0.017369122139089255,1.296917747330348,-0.032130679757535065,2.177265524157449
2024-01-03 00:00:00+00:00,-0.07849078779719934,1.5735268177186488,-0.002247534602152986,1.2585551618535296,-0.07849078779719934,1.5717387283736513,-0.002247534602152986,1.2552166539073675,-0.04675916542427505,1.23627495584125,-0.060472417289315565,2.045601014830959
2024-01-04 00:00:00+00:00,0.08148488405984158,1.7017454680255044,0.05579273625636541,1.3287733980629108,0.08148488405984158,1.6998116764275413,0.05579273625636541,1.3252486256234188,0.030478772082679795,1.2739550984518606,0.06431102487749218,2.177155712585176
