time,trend_only,carry_only,static_50_50,hard_er,soft_er,hard_mom,soft_mom
2024-02-28 00:00:00+00:00,0.07881922532027114,0.0016520617858084563,0.040235643553039796,0.07881922532027114,0.059527434436655466,0.07881922532027114,0.059527434436655466
2024-02-29 00:00:00+00:00,0.007438171758421913,0.0019962976692691203,0.004717234713845516,0.007438171758421913,0.006077703236133715,0.007438171758421913,0.006077703236133715
2024-03-01 00:00:00+00:00,0.026114711538395206,0.0014606235628491504,0.013787667550622178,0.026114711538395206,0.019951189544508693,0.026114711538395206,0.019951189544508693
2024-03-02 00:00:00+00:00,-0.0017889245843100141,0.0016546212359418444,-6.715167418408486e-05,-0.0017889245843100141,-0.0009280381292470494,-0.0017889245843100141,-0.0009280381292470494
2024-03-03 00:00:00+00:00,0.012887696261623116,0.0015912540883216142,0.007239475174972365,0.012887696261623116,0.01006358571829774,0.012887696261623116,0.01006358571829774
2024-03-04 00:00:00+00:00,0.04844274444177077,0.0017010909078631897,0.02507191767481698,0.04844274444177077,0.036757331058293874,0.04844274444177077,0.036757331058293874
2024-03-05 00:00:00+00:00,-0.04880437811072406,0.0026336691478872076,-0.023085354481418425,-0.04880437811072406,-0.03594486629607124,-0.04880437811072406,-0.03594486629607124
2024-03-06 00:00:00+00:00,0.05172137589044157,0.0015297974128241076,0.026625586651632838,0.05172137589044157,0.0391734812710372,0.05172137589044157,0.0391734812710372
2024-03-07 00:00:00+00:00,0.04136714887984897,0.0013112660234744222,0.021339207451661697,0.04136714887984897,0.031353178165755335,0.04136714887984897,0.031353178165755335
2024-03-08 00:00:00+00:00,0.009995984981342314,0.0015344093134030956,0.005765197147372705,0.009995984981342314,0.00788059106435751,0.009995984981342314,0.00788059106435751
2024-03-09 00:00:00+00:00,0.0016496042946133975,0.001910579906029941,0.0017800921003216694,0.0016496042946133975,0.0017148481974675334,0.0016496042946133975,0.0017148481974675334
2024-03-10 00:00:00+00:00,0.0010841988059687726,0.0016558880461443604,0.0013700434260565664,0.0010841988059687726,0.0012271211160126696,0.0010841988059687726,0.0012271211160126696
2024-03-11 00:00:00+00:00,0.041356903163727816,0.0012188917112918585,0.021287897437509837,0.041356903163727816,0.03132240030061883,0.041356903163727816,0.03132240030061883
2024-03-12 00:00:00+00:00,-0.004880600118786215,0.001319219549009043,-0.001780690284888586,-0.004880600118786215,-0.0033306452018374002,-0.004880600118786215,-0.0033306452018374002
2024-03-13 00:00:00+00:00,0.03799602768158856,0.001782168189085498,0.019889097935337028,0.03799602768158856,0.028942562808462795,0.03799602768158856,0.028942562808462795
2024-03-14 00:00:00+00:00,0.008005753825847929,0.001560671444405859,0.004783212635126894,0.008005753825847929,0.0063944832304874116,0.008005753825847929,0.0063944832304874116
2024-03-15 00:00:00+00:00,-0.00702590911416149,0.0006794909856615572,-0.003173209064249966,-0.00702590911416149,-0.005099559089205728,-0.00702590911416149,-0.005099559089205728
2024-03-16 00:00:00+00:00,-0.04309935322408668,0.000518251847294815,-0.021290550688395932,-0.04309935322408668,-0.03219495195624131,-0.04309935322408668,-0.03219495195624131
