sticky,a,thr,carry,weights,train_ret,train_ann,train_dd,train_calmar,test_ret,test_ann,test_dd,test_calmar,fwd_ret,fwd_ann,fwd_dd,fwd_calmar
12,0.05,0.2,True,equal,73.80163490712394,32.13614337707178,7.155738471286732,4.49096113643923,0.2216151354117235,0.2337989681082675,6.664596303146098,0.03508073969880217,2.993789577641115,10.79843042161992,2.950740873111102,3.659565812783363
12,0.05,0.2,True,invvol,60.09569434649524,26.77590020106191,7.155738471286732,3.7418779778639837,-1.7735756096154298,-1.8700522599551683,6.801970093591581,-0.2749280332351097,3.1546030041812667,11.400973123805812,2.5545452554415538,4.46301473795388
12,0.05,0.5,False,equal,73.33177254908854,31.955931210961452,7.206660397811914,4.434221879063971,0.7589536355877113,0.8007967208042199,6.568159252901939,0.12192102687680914,3.2297009129878873,11.683151153467698,3.43345752730454,3.4027364720715325
12,0.05,0.5,False,invvol,60.39463428142406,26.89518754553064,7.206660397811914,3.731990417322364,-1.5984126900291162,-1.6854430240111018,6.977372566714624,-0.24155841011722154,3.402467579857249,12.33424893783499,2.9747217428196415,4.146353845568009
12,0.05,0.5,True,equal,82.71859443847025,35.51148609371702,7.155738471286732,4.96265846442141,1.0370606378207192,1.0943195521489368,6.467836326909692,0.16919406998534833,3.3320559689424822,12.068566435205263,3.36322258725692,3.5883936082412298
12,0.05,0.5,True,invvol,66.42087367189401,29.276773887133146,7.155738471286732,4.091370024856239,-1.1301943796060532,-1.1918857787467818,6.768265123168826,-0.17609915643918428,3.463483973248116,12.564843279546722,2.906319667051105,4.323283299491838
12,0.1,0.1,False,equal,51.345379962360546,23.233933975325716,7.206660397811914,3.2239529397527877,1.6502277212561811,1.7416318675830489,3.0359279345371304,0.5736736527142187,1.5986204501350132,5.667964794811553,2.5720451514590126,2.2036801304193108
12,0.1,0.1,False,invvol,38.88365863088055,18.009418472545224,7.206660397811914,2.4989964114325747,0.5837296613885989,0.6158826927196159,1.9745104170440397,0.31191665913904326,0.1404276098462276,0.4890024229599943,2.3010322966153463,0.21251436743381735
12,0.1,0.1,True,equal,60.544505781014,26.954949954196938,7.155738471286732,3.766899819264908,1.8581292285129392,1.9611594621469663,2.7570472874622,0.7113260157217578,1.68636113654006,5.985523798340364,2.5421293070641893,2.354531605338685
12,0.1,0.1,True,invvol,46.558713380653806,21.253341412608062,7.155738471286732,2.9701115402539755,0.9167972537681202,0.9673843622405087,1.7820939055477103,0.5428357951446964,0.7498544203191626,2.6309259517673045,2.136696075466582,1.2313056508014597
12,0.1,0.2,False,equal,55.3370685920959,24.86195456373683,7.206660397811914,3.4498579357625085,2.0399226723522235,2.1531391680896794,2.806847922950584,0.7671021826598572,1.5637467302975105,5.541935124921937,2.6527579591441253,2.089122042144382
12,0.1,0.2,False,invvol,41.81119765836605,19.25700468302507,7.206660397811914,2.6721121323924018,0.675809711350106,0.7130526543123406,1.9639281296528588,0.3630747192558308,0.24959457749060832,0.8703227790757051,2.343336906784077,0.37140318003616013
