time,coin,position_delta,new_position
2023-12-09 08:00:00+00:00,BTC,1.0,0.0
2023-12-11 01:00:00+00:00,BTC,1.0,1.0
2023-12-12 08:00:00+00:00,BTC,-1.0,0.0
2023-12-13 17:00:00+00:00,BTC,-1.0,-1.0
2023-12-15 04:00:00+00:00,BTC,1.0,0.0
2023-12-15 15:00:00+00:00,BTC,1.0,1.0
2023-12-16 11:00:00+00:00,BTC,-1.0,0.0
2023-12-17 14:00:00+00:00,BTC,1.0,1.0
2023-12-17 16:00:00+00:00,BTC,-1.0,0.0
2023-12-17 23:00:00+00:00,BTC,1.0,1.0
2023-12-18 14:00:00+00:00,BTC,-1.0,0.0
2023-12-18 21:00:00+00:00,BTC,-1.0,-1.0
2023-12-19 14:00:00+00:00,BTC,1.0,0.0
2023-12-20 13:00:00+00:00,BTC,-1.0,-1.0
2023-12-21 17:00:00+00:00,BTC,1.0,0.0
2023-12-24 22:00:00+00:00,BTC,1.0,1.0
2023-12-25 12:00:00+00:00,BTC,-1.0,0.0
2023-12-26 05:00:00+00:00,BTC,1.0,1.0
2023-12-27 08:00:00+00:00,BTC,-1.0,0.0
2023-12-29 16:00:00+00:00,BTC,1.0,1.0
2023-12-30 14:00:00+00:00,BTC,-1.0,0.0
2024-01-01 18:00:00+00:00,BTC,-1.0,-1.0
2024-01-03 07:00:00+00:00,BTC,1.0,0.0
2024-01-03 13:00:00+00:00,BTC,1.0,1.0
2024-01-04 12:00:00+00:00,BTC,-1.0,0.0
2024-01-07 13:00:00+00:00,BTC,-1.0,-1.0
2024-01-07 16:00:00+00:00,BTC,1.0,0.0
2024-01-08 02:00:00+00:00,BTC,1.0,1.0
2024-01-08 06:00:00+00:00,BTC,-1.0,0.0
2024-01-08 11:00:00+00:00,BTC,-1.0,-1.0
2024-01-09 21:00:00+00:00,BTC,1.0,0.0
2024-01-10 12:00:00+00:00,BTC,1.0,1.0
2024-01-10 17:00:00+00:00,BTC,-1.0,0.0
2024-01-11 12:00:00+00:00,BTC,-1.0,-1.0
2024-01-11 16:00:00+00:00,BTC,1.0,0.0
2024-01-12 15:00:00+00:00,BTC,1.0,1.0
2024-01-14 06:00:00+00:00,BTC,-1.0,0.0
2024-01-14 22:00:00+00:00,BTC,1.0,1.0
2024-01-15 05:00:00+00:00,BTC,-1.0,0.0
2024-01-15 14:00:00+00:00,BTC,1.0,1.0
2024-01-15 17:00:00+00:00,BTC,-1.0,0.0
2024-01-16 15:00:00+00:00,BTC,-1.0,-1.0
2024-01-17 03:00:00+00:00,BTC,1.0,0.0
2024-01-17 16:00:00+00:00,BTC,1.0,1.0
2024-01-17 20:00:00+00:00,BTC,-1.0,0.0
2024-01-18 16:00:00+00:00,BTC,1.0,1.0
2024-01-19 18:00:00+00:00,BTC,-1.0,0.0
2024-01-22 01:00:00+00:00,BTC,1.0,1.0
2024-01-23 23:00:00+00:00,BTC,-1.0,0.0
2024-01-26 10:00:00+00:00,BTC,-1.0,-1.0
2024-01-28 17:00:00+00:00,BTC,1.0,0.0
2024-01-29 16:00:00+00:00,BTC,-1.0,-1.0
2024-01-30 23:00:00+00:00,BTC,1.0,0.0
2024-01-31 20:00:00+00:00,BTC,1.0,1.0
2024-02-01 14:00:00+00:00,BTC,-1.0,0.0
2024-02-04 06:00:00+00:00,BTC,1.0,1.0
2024-02-04 11:00:00+00:00,BTC,-1.0,0.0
2024-02-04 18:00:00+00:00,BTC,1.0,1.0
2024-02-05 06:00:00+00:00,BTC,-1.0,0.0
2024-02-05 13:00:00+00:00,BTC,-1.0,-1.0
2024-02-06 02:00:00+00:00,BTC,1.0,0.0
2024-02-07 17:00:00+00:00,BTC,-1.0,-1.0
2024-02-10 10:00:00+00:00,BTC,1.0,0.0
2024-02-11 03:00:00+00:00,BTC,-1.0,-1.0
2024-02-12 04:00:00+00:00,BTC,1.0,0.0
2024-02-12 14:00:00+00:00,BTC,-1.0,-1.0
2024-02-13 14:00:00+00:00,BTC,1.0,0.0
2024-02-14 09:00:00+00:00,BTC,-1.0,-1.0
2024-02-15 20:00:00+00:00,BTC,1.0,0.0
2024-02-17 13:00:00+00:00,BTC,1.0,1.0
2024-02-17 21:00:00+00:00,BTC,-1.0,0.0
2024-02-19 06:00:00+00:00,BTC,-1.0,-1.0
2024-02-19 16:00:00+00:00,BTC,1.0,0.0
2024-02-20 13:00:00+00:00,BTC,-1.0,-1.0
2024-02-20 14:00:00+00:00,BTC,1.0,0.0
2024-02-20 16:00:00+00:00,BTC,1.0,1.0
2024-02-20 19:00:00+00:00,BTC,-1.0,0.0
2024-02-21 09:00:00+00:00,BTC,1.0,1.0
2024-02-21 22:00:00+00:00,BTC,-1.0,0.0
2024-02-24 01:00:00+00:00,BTC,1.0,1.0
2024-02-24 07:00:00+00:00,BTC,-1.0,0.0
2024-02-24 21:00:00+00:00,BTC,-1.0,-1.0
2024-02-25 16:00:00+00:00,BTC,1.0,0.0
2024-02-26 09:00:00+00:00,BTC,1.0,1.0
2024-02-29 17:00:00+00:00,BTC,-1.0,0.0
2024-03-03 16:00:00+00:00,BTC,-1.0,-1.0
2024-03-05 16:00:00+00:00,BTC,1.0,0.0
2024-03-05 19:00:00+00:00,BTC,1.0,1.0
2024-03-06 05:00:00+00:00,BTC,-1.0,0.0
2024-03-08 14:00:00+00:00,BTC,-1.0,-1.0
2024-03-09 16:00:00+00:00,BTC,1.0,0.0
2024-03-10 03:00:00+00:00,BTC,-1.0,-1.0
2024-03-10 23:00:00+00:00,BTC,1.0,0.0
2024-03-11 07:00:00+00:00,BTC,-1.0,-1.0
2024-03-12 14:00:00+00:00,BTC,1.0,0.0
2024-03-13 08:00:00+00:00,BTC,-1.0,-1.0
2024-03-13 13:00:00+00:00,BTC,1.0,0.0
2024-03-14 18:00:00+00:00,BTC,1.0,1.0
2024-03-15 18:00:00+00:00,BTC,-1.0,0.0
2024-03-16 23:00:00+00:00,BTC,1.0,1.0
2024-03-17 10:00:00+00:00,BTC,-1.0,0.0
2024-03-19 04:00:00+00:00,BTC,1.0,1.0
2024-03-20 12:00:00+00:00,BTC,-1.0,0.0
2024-03-20 21:00:00+00:00,BTC,-1.0,-1.0
2024-03-21 17:00:00+00:00,BTC,1.0,0.0
2024-03-22 13:00:00+00:00,BTC,1.0,1.0
2024-03-23 07:00:00+00:00,BTC,-1.0,0.0
2024-03-24 21:00:00+00:00,BTC,-1.0,-1.0
2024-03-26 16:00:00+00:00,BTC,1.0,0.0
2024-03-27 15:00:00+00:00,BTC,1.0,1.0
2024-03-28 04:00:00+00:00,BTC,-1.0,0.0
2024-03-28 14:00:00+00:00,BTC,-1.0,-1.0
2024-03-29 03:00:00+00:00,BTC,1.0,0.0
2024-03-31 13:00:00+00:00,BTC,-1.0,-1.0
2024-04-01 04:00:00+00:00,BTC,1.0,0.0
2024-04-01 05:00:00+00:00,BTC,1.0,1.0
2024-04-01 20:00:00+00:00,BTC,-1.0,0.0
2024-04-02 02:00:00+00:00,BTC,1.0,1.0
2024-04-03 08:00:00+00:00,BTC,-1.0,0.0
2024-04-04 12:00:00+00:00,BTC,-1.0,-1.0
2024-04-05 05:00:00+00:00,BTC,1.0,0.0
2024-04-06 22:00:00+00:00,BTC,-1.0,-1.0
2024-04-09 05:00:00+00:00,BTC,1.0,0.0
2024-04-12 14:00:00+00:00,BTC,1.0,1.0
2024-04-14 22:00:00+00:00,BTC,-1.0,0.0
2024-04-17 14:00:00+00:00,BTC,1.0,1.0
2024-04-18 10:00:00+00:00,BTC,-1.0,0.0
2024-04-19 06:00:00+00:00,BTC,-1.0,-1.0
2024-04-20 00:00:00+00:00,BTC,1.0,0.0
2024-04-22 03:00:00+00:00,BTC,-1.0,-1.0
2024-04-23 07:00:00+00:00,BTC,1.0,0.0
2024-04-24 14:00:00+00:00,BTC,1.0,1.0
2024-04-25 17:00:00+00:00,BTC,-1.0,0.0
2024-04-27 00:00:00+00:00,BTC,1.0,1.0
2024-04-27 23:00:00+00:00,BTC,-1.0,0.0
2024-04-29 03:00:00+00:00,BTC,1.0,1.0
2024-04-29 15:00:00+00:00,BTC,-1.0,0.0
2024-04-30 00:00:00+00:00,BTC,-1.0,-1.0
2024-04-30 04:00:00+00:00,BTC,1.0,0.0
2024-04-30 08:00:00+00:00,BTC,1.0,1.0
2024-05-02 11:00:00+00:00,BTC,-1.0,0.0
2024-05-03 12:00:00+00:00,BTC,-1.0,-1.0
2024-05-05 02:00:00+00:00,BTC,1.0,0.0
2024-05-06 07:00:00+00:00,BTC,-1.0,-1.0
2024-05-06 10:00:00+00:00,BTC,1.0,0.0
2024-05-07 23:00:00+00:00,BTC,1.0,1.0
2024-05-09 15:00:00+00:00,BTC,-1.0,0.0
2024-05-09 22:00:00+00:00,BTC,-1.0,-1.0
2024-05-11 18:00:00+00:00,BTC,1.0,0.0
2024-05-12 15:00:00+00:00,BTC,-1.0,-1.0
2024-05-13 02:00:00+00:00,BTC,1.0,0.0
2024-05-13 07:00:00+00:00,BTC,-1.0,-1.0
2024-05-14 06:00:00+00:00,BTC,1.0,0.0
2024-05-15 12:00:00+00:00,BTC,-1.0,-1.0
2024-05-16 16:00:00+00:00,BTC,1.0,0.0
2024-05-17 14:00:00+00:00,BTC,-1.0,-1.0
2024-05-19 00:00:00+00:00,BTC,1.0,0.0
