date,longs,shorts
2024-04-15 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-16 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-17 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-18 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-19 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-20 00:00:00+00:00,"['AAVE', 'OP', 'UNI']","['BTC', 'ETH', 'TIA']"
2024-04-21 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-22 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-23 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-24 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-25 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-26 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-27 00:00:00+00:00,"['BTC', 'DOGE', 'TIA']","['SOL', 'LINK', 'INJ']"
2024-04-28 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-04-29 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-04-30 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-05-01 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-05-02 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-05-03 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-05-04 00:00:00+00:00,"['SOL', 'AVAX', 'TIA']","['ETH', 'OP', 'UNI']"
2024-05-05 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-06 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-07 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-08 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-09 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-10 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-11 00:00:00+00:00,"['ETH', 'ARB', 'INJ']","['SOL', 'OP', 'DOGE']"
2024-05-12 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-13 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-14 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-15 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-16 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-17 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-18 00:00:00+00:00,"['AVAX', 'AAVE', 'DOGE']","['BTC', 'ETH', 'ARB']"
2024-05-19 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-20 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-21 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-22 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-23 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-24 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-25 00:00:00+00:00,"['ARB', 'OP', 'DOGE']","['SOL', 'LINK', 'INJ']"
2024-05-26 00:00:00+00:00,"['AVAX', 'OP', 'INJ']","['LINK', 'AAVE', 'UNI']"
