venue,coin,listed,volume_24h_usd,top_of_book_spread_bps,depth_1pct_usd,max_leverage,taker_fee_bps,fetched_at
paradex,INJ,1,441.82,240.932,1640.29,0,3.0,2026-06-19T13:00:27Z
paradex,JTO,1,0.0,355.69,0.0,0,3.0,2026-06-19T13:00:29Z
paradex,JUP,1,954.94,275.44,351.89,0,3.0,2026-06-19T13:00:30Z
paradex,LINK,1,19053.49,,0.0,0,3.0,2026-06-19T13:00:30Z
paradex,LTC,1,3407.94,,0.0,0,3.0,2026-06-19T13:00:30Z
paradex,NEAR,1,18650.37,,0.0,0,3.0,2026-06-19T13:00:30Z
paradex,PENDLE,1,8593.11,332.082,0.0,0,3.0,2026-06-19T13:00:31Z
paradex,PYTH,1,5898.24,313.831,0.0,0,3.0,2026-06-19T13:00:32Z
paradex,SOL,1,918379.07,1.605,528570.0,0,3.0,2026-06-19T13:00:33Z
paradex,SUI,1,10431.63,,0.0,0,3.0,2026-06-19T13:00:33Z
paradex,TAO,1,9909.5,204.562,2587.52,0,3.0,2026-06-19T13:00:34Z
paradex,TRX,1,319.95,,0.0,0,3.0,2026-06-19T13:00:34Z
paradex,UNI,1,1816.14,,0.0,0,3.0,2026-06-19T13:00:34Z
paradex,WLD,1,1209.23,351.813,0.0,0,3.0,2026-06-19T13:00:35Z
paradex,XLM,1,4095.05,,0.0,0,3.0,2026-06-19T13:00:35Z
paradex,XRP,1,35674.3,,0.0,0,3.0,2026-06-19T13:00:35Z
paradex,ZRO,1,216.19,289.356,0.0,0,3.0,2026-06-19T13:00:36Z
backpack,AAVE,1,291984.61,,0.0,20,7.0,2026-06-19T13:01:56Z
backpack,ADA,1,936707.79,,0.0,15,7.0,2026-06-19T13:01:56Z
backpack,APT,1,715646.78,,0.0,20,7.0,2026-06-19T13:01:56Z
backpack,ARB,1,160822.46,,0.0,20,7.0,2026-06-19T13:01:56Z
backpack,ATOM,0,0.0,,0.0,0,7.0,2026-06-19T13:01:56Z
backpack,AVAX,1,179302.03,,0.0,15,7.0,2026-06-19T13:01:56Z
backpack,BCH,0,0.0,,0.0,0,7.0,2026-06-19T13:01:56Z
backpack,BNB,1,713059.82,,0.0,40,7.0,2026-06-19T13:01:56Z
backpack,BTC,1,39689665.64,0.016,9583211.46,75,7.0,2026-06-19T13:01:57Z
backpack,CRV,1,104215.33,0.464,159013.41,10,7.0,2026-06-19T13:01:57Z
backpack,DOGE,1,290525.7,,0.0,20,7.0,2026-06-19T13:01:57Z
