ts_ms,coin,funding_rate,annualized_pct
1774861200000,SOL,-1.1017e-05,-9.6509
1774857618000,BTC,-9.5437e-06,-8.3603
1774857618000,SOL,-1.00166e-05,-8.7745
1774857607000,ETH,1.0592e-06,0.9279
1774854008000,BTC,-9.212e-06,-8.0697
1774854008000,ETH,3.3401e-06,2.9259
1774854008000,SOL,-5.5412e-06,-4.8541
1774850417000,BTC,-9.2981e-06,-8.1451
1774850417000,ETH,7.2515e-06,6.3524
1774850417000,SOL,3.2644e-06,2.8596
1774846807000,BTC,-9.8138e-06,-8.5968
1774846807000,ETH,-1.6447e-06,-1.4407
1774846807000,SOL,1.12804e-05,9.8816
1774843216000,BTC,-8.6624e-06,-7.5883
1774843216000,ETH,-9.635e-07,-0.844
1774843216000,SOL,5.0066e-06,4.3858
1774839611000,BTC,-7.5652e-06,-6.6271
1774839611000,ETH,2.5606e-06,2.2431
1774839611000,SOL,6.353e-07,0.5565
1774836001000,BTC,-6.4671e-06,-5.6652
1774836001000,ETH,6.0216e-06,5.275
1774836001000,SOL,3.2837e-06,2.8765
1774832411000,BTC,-6.6207e-06,-5.7997
1774832411000,ETH,3.4583e-06,3.0295
1774832400000,SOL,3.3394e-06,2.9253
1774828811000,BTC,-6.8761e-06,-6.0235
1774828811000,ETH,-1.4726e-06,-1.29
1774828809000,SOL,-4.1754e-06,-3.6577
1774825201000,BTC,-6.0136e-06,-5.2679
1774825201000,ETH,-1.261e-06,-1.1047
1774825200000,SOL,-6.6025e-06,-5.7838
1774821601000,BTC,-9.6404e-06,-8.445
1774821601000,ETH,-8.6928e-06,-7.6149
1774821600000,SOL,-1.22441e-05,-10.7258
1774818001000,BTC,-9.5416e-06,-8.3585
1774818001000,ETH,-4.1992e-06,-3.6785
1774818001000,SOL,-1.2698e-05,-11.1235
1774814400000,BTC,-7.2406e-06,-6.3427
1774814400000,ETH,-9.217e-07,-0.8074
1774814400000,SOL,-1.28408e-05,-11.2486
1774810800000,BTC,-8.4185e-06,-7.3746
1774810800000,ETH,2.1479e-06,1.8816
1774810800000,SOL,-1.6613e-05,-14.553
1774807209000,BTC,-6.0317e-06,-5.2837
1774807209000,ETH,9.509e-07,0.833
1774807209000,SOL,-1.45499e-05,-12.7457
1774803618000,BTC,-7.3416e-06,-6.4313
1774803618000,ETH,-9.199e-07,-0.8058
1774803618000,SOL,-2.30995e-05,-20.2351
1774800008000,BTC,-1.9247e-06,-1.686
1774800008000,ETH,-1.039e-07,-0.091
1774800008000,SOL,-1.94381e-05,-17.0277
1774796405000,BTC,4.9961e-06,4.3766
1774796400000,ETH,-2.2082e-06,-1.9344
1774796400000,SOL,-2.60154e-05,-22.7895
1774792806000,BTC,4.406e-06,3.8597
1774792802000,ETH,-5.2983e-06,-4.6413
1774792801000,SOL,-2.51976e-05,-22.0731
1774789205000,BTC,5.3312e-06,4.6701
1774789205000,ETH,-1.2072e-06,-1.0575
1774789205000,SOL,-2.23707e-05,-19.5967
1774785614000,BTC,6.7267e-06,5.8926
1774785614000,ETH,-3.508e-06,-3.073
1774785614000,SOL,-1.97255e-05,-17.2795
1774782004000,BTC,4.0395e-06,3.5386
1774782004000,ETH,3.8031e-06,3.3315
1774782004000,SOL,-2.17346e-05,-19.0395
1774778404000,ETH,8.2533e-06,7.2299
1774778404000,SOL,-1.33168e-05,-11.6655
1774778402000,BTC,5.4861e-06,4.8058
1774774804000,BTC,6.2689e-06,5.4915
1774774804000,ETH,1.33738e-05,11.7155
1774774804000,SOL,-1.25741e-05,-11.0149
1774771204000,BTC,5.1997e-06,4.5549
1774771204000,ETH,1.37157e-05,12.0149
1774771204000,SOL,-1.23263e-05,-10.7978
1774767613000,BTC,6.1516e-06,5.3888
1774767613000,ETH,1.4034e-05,12.2937
1774767613000,SOL,-2.10938e-05,-18.4782
1774764013000,BTC,6.7122e-06,5.8799
1774764013000,ETH,1.25999e-05,11.0375
1774764013000,SOL,-7.3085e-06,-6.4023
1774760402000,BTC,9.1472e-06,8.013
1774760402000,ETH,1.00402e-05,8.7952
1774760402000,SOL,-6.6263e-06,-5.8046
1774756800000,BTC,9.2268e-06,8.0827
1774756800000,ETH,8.8554e-06,7.7573
1774756800000,SOL,-1.7833e-06,-1.5621
1774753203000,BTC,7.4522e-06,6.5281
1774753203000,ETH,9.6582e-06,8.4606
1774753200000,SOL,-7.54e-07,-0.6605
1774749613000,ETH,9.6031e-06,8.4123
1774749604000,BTC,5.4281e-06,4.755
1774749601000,SOL,-1.6198e-06,-1.4189
1774746003000,BTC,5.6423e-06,4.9426
1774746003000,ETH,-1.428e-07,-0.1251
1774746000000,SOL,-1.08583e-05,-9.5119
1774742413000,ETH,-1.3727e-06,-1.2025
1774742412000,BTC,5.1343e-06,4.4976
1774742400000,SOL,-3.4199e-06,-2.9959
